distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
16154.6,12372208788,5,798.0,TrailRun,2024-09-10T07:16:23Z,8,2.371,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,6812,7035,Run,2024-09-10T05:16:23Z,(GMT+01:00) Europe/Rome,1
1450.0,12365809831,5,0.0,Swim,2024-09-09T13:37:40Z,4,0.743,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,1952,2873,Swim,2024-09-09T11:37:40Z,(GMT+02:00) Africa/Blantyre,1
12828.2,12355355643,5,223.0,Run,2024-09-08T08:42:11Z,4,2.676,2025-02-04 14:55:14.618904+00:00,Morning Run,4794,4862,Run,2024-09-08T06:42:11Z,(GMT+01:00) Europe/Rome,1
17866.6,12347782243,5,961.0,TrailRun,2024-09-07T09:34:34Z,5,1.933,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,9242,9423,Run,2024-09-07T07:34:34Z,(GMT+01:00) Europe/Rome,2
8343.1,12339594387,5,309.0,TrailRun,2024-09-06T10:52:06Z,6,2.323,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,3592,3599,Run,2024-09-06T08:52:06Z,(GMT+01:00) Europe/Rome,2
5636.3,12294530427,5,16.0,Run,2024-09-01T06:58:59Z,4,2.348,2025-02-04 14:55:14.618904+00:00,Recovery Mode 🩹,2400,2409,Run,2024-09-01T04:58:59Z,(GMT+01:00) Europe/Rome,1
35955.9,12289525622,5,1569.0,TrailRun,2024-08-31T09:00:16Z,13,1.98,2025-02-04 14:55:14.618904+00:00,Spoleto - Norcia,16947,18160,Run,2024-08-31T07:00:16Z,(GMT+01:00) Europe/Rome,2
5310.6,12274312332,5,219.0,TrailRun,2024-08-29T17:59:06Z,6,2.134,2025-02-04 14:55:14.618904+00:00,Afternoon Trail Run,2488,2536,Run,2024-08-29T15:59:06Z,(GMT+01:00) Europe/Rome,1
13973.4,12261604603,5,719.0,TrailRun,2024-08-28T06:33:11Z,4,1.926,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7255,7382,Run,2024-08-28T04:33:11Z,(GMT+01:00) Europe/Rome,3
6994.1,12252270282,5,167.0,Run,2024-08-27T07:15:34Z,3,2.64,2025-02-04 14:55:14.618904+00:00,Morning Run,2649,2708,Run,2024-08-27T05:15:34Z,(GMT+01:00) Europe/Rome,2
2114.0,12252268972,5,7.0,Run,2024-08-27T07:02:25Z,0,2.785,2025-02-04 14:55:14.618904+00:00,Morning Run,759,759,Run,2024-08-27T05:02:25Z,(GMT+01:00) Europe/Rome,2
17288.5,12235833341,5,589.0,TrailRun,2024-08-25T07:36:08Z,8,2.377,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7273,7455,Run,2024-08-25T05:36:08Z,(GMT+01:00) Europe/Rome,2
2405.7,12235831151,5,89.0,TrailRun,2024-08-25T07:16:56Z,1,2.248,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,1070,1108,Run,2024-08-25T05:16:56Z,(GMT+01:00) Europe/Rome,1
14456.4,12219461750,5,417.0,Run,2024-08-23T07:31:54Z,4,2.773,2025-02-04 14:55:14.618904+00:00,Morning Run,5213,5389,Run,2024-08-23T05:31:54Z,(GMT+01:00) Europe/Rome,2
7813.5,12211180322,5,141.0,TrailRun,2024-08-22T08:10:37Z,4,2.252,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,3469,4025,Run,2024-08-22T06:10:37Z,(GMT+01:00) Europe/Rome,2
13530.7,12202378481,5,653.0,TrailRun,2024-08-21T07:40:14Z,9,2.284,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,5925,6075,Run,2024-08-21T05:40:14Z,(GMT+01:00) Europe/Rome,1
1800.0,12195565821,5,0.0,Swim,2024-08-20T13:36:52Z,2,0.75,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2400,3069,Swim,2024-08-20T11:36:52Z,(GMT+02:00) Africa/Blantyre,1
13922.5,12186233669,5,436.0,Run,2024-08-19T11:53:01Z,4,2.502,2025-02-04 14:55:14.618904+00:00,Lunch Run,5564,5702,Run,2024-08-19T09:53:01Z,(GMT+01:00) Europe/Rome,1
13966.0,12146762511,5,1249.0,Hike,2024-08-14T07:39:35Z,7,0.778,2025-02-04 14:55:14.618904+00:00,Morning Hike,17962,34401,Hike,2024-08-14T05:39:35Z,(GMT+01:00) Europe/Rome,4
8238.8,12116292579,5,29.0,Run,2024-08-11T05:50:13Z,6,2.853,2025-02-04 14:55:14.618904+00:00,Alba 🌄,2888,2888,Run,2024-08-11T03:50:13Z,(GMT+01:00) Europe/Rome,1
28633.8,12108493111,5,1260.0,TrailRun,2024-08-10T06:08:59Z,6,2.433,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,11769,13508,Run,2024-08-10T04:08:59Z,(GMT+01:00) Europe/Rome,3
